week,sku,inventory_level,consumption,lead_time_days,vendor_fill_rate,vendor_name,category,critical
2024-01-01,SKU-00001,1220,174,12,0.86,VendorA,Equipment,No
2024-01-08,SKU-00001,342,80,5,0.94,VendorA,Equipment,No
2024-01-15,SKU-00001,1877,164,6,0.85,VendorA,Equipment,No
2024-01-22,SKU-00001,1088,165,5,0.86,VendorA,Equipment,No
2024-01-29,SKU-00001,1127,175,3,0.99,VendorA,Equipment,No
2024-02-05,SKU-00001,1943,213,6,0.91,VendorA,Equipment,No
2024-02-12,SKU-00001,289,92,11,0.88,VendorA,Equipment,No
2024-02-19,SKU-00001,1731,204,2,0.97,VendorA,Equipment,No
2024-02-26,SKU-00001,742,160,2,0.96,VendorA,Equipment,No
2024-03-04,SKU-00001,997,123,5,0.85,VendorA,Equipment,No
2024-03-11,SKU-00001,1121,171,11,0.98,VendorA,Equipment,No
2024-03-18,SKU-00001,1163,143,11,0.92,VendorA,Equipment,No
2024-03-25,SKU-00001,1565,189,13,0.99,VendorA,Equipment,No
2024-04-01,SKU-00001,679,120,9,0.87,VendorA,Equipment,No
2024-04-08,SKU-00001,1160,177,5,0.89,VendorA,Equipment,No
2024-04-15,SKU-00001,1809,214,9,0.98,VendorA,Equipment,No
2024-04-22,SKU-00001,2162,203,7,0.91,VendorA,Equipment,No
2024-04-29,SKU-00001,1497,166,3,0.94,VendorA,Equipment,No
2024-05-06,SKU-00001,901,112,9,0.9,VendorA,Equipment,No
2024-05-13,SKU-00001,716,135,10,0.86,VendorA,Equipment,No
2024-05-20,SKU-00001,1015,146,8,0.88,VendorA,Equipment,No
2024-05-27,SKU-00001,1331,165,10,0.95,VendorA,Equipment,No
2024-06-03,SKU-00001,1383,176,2,0.88,VendorA,Equipment,No
2024-06-10,SKU-00001,1545,167,9,0.97,VendorA,Equipment,No
2024-06-17,SKU-00001,402,102,10,0.91,VendorA,Equipment,No
2024-06-24,SKU-00001,1532,140,2,0.9,VendorA,Equipment,No
2024-07-01,SKU-00001,1562,140,3,0.89,VendorA,Equipment,No
2024-07-08,SKU-00001,434,97,2,0.92,VendorA,Equipment,No
2024-07-15,SKU-00001,1209,223,6,0.88,VendorA,Equipment,No
2024-07-22,SKU-00001,1010,126,4,0.91,VendorA,Equipment,No
2024-07-29,SKU-00001,741,142,6,0.95,VendorA,Equipment,No
2024-08-05,SKU-00001,1317,110,8,0.89,VendorA,Equipment,No
2024-08-12,SKU-00001,445,135,8,0.9,VendorA,Equipment,No
2024-08-19,SKU-00001,1493,192,11,0.91,VendorA,Equipment,No
2024-08-26,SKU-00001,816,219,11,0.9,VendorA,Equipment,No
2024-09-02,SKU-00001,1171,162,4,0.99,VendorA,Equipment,No
2024-09-09,SKU-00001,1833,180,5,0.87,VendorA,Equipment,No
2024-09-16,SKU-00001,2230,208,7,0.9,VendorA,Equipment,No
2024-09-23,SKU-00001,1645,160,3,0.9,VendorA,Equipment,No
2024-09-30,SKU-00001,1570,149,2,0.94,VendorA,Equipment,No
2024-10-07,SKU-00001,787,100,9,0.95,VendorA,Equipment,No
